"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"34364","225106_s_at","OGFOD1","55239","2-oxoglutarate and iron dependent oxygenase domain containing 1"
"34365","225107_at","HNRNPA2B1","3181","heterogeneous nuclear ribonucleoprotein A2/B1"
"34366","225108_at","AGPS","8540","alkylglycerone phosphate synthase"
"34367","225109_at","OGFOD1","55239","2-oxoglutarate and iron dependent oxygenase domain containing 1"
"34368","225110_at","OGFOD1","55239","2-oxoglutarate and iron dependent oxygenase domain containing 1"
"34369","225111_s_at","NAPB","63908","NSF attachment protein beta"
"34370","225112_at","ABI2","10152","abl interactor 2"
"34371","225113_at","AGPS","8540","alkylglycerone phosphate synthase"
"34372","225114_at","AGPS","8540","alkylglycerone phosphate synthase"
"34373","225115_at","HIPK2","28996","homeodomain interacting protein kinase 2"
"34374","225116_at","HIPK2","28996","homeodomain interacting protein kinase 2"
"34375","225117_at","KANSL1","284058","KAT8 regulatory NSL complex subunit 1"
"34376","225118_at","KMT5A","387893","lysine methyltransferase 5A"
"34377","225119_at","CHMP4B","128866","charged multivesicular body protein 4B"
"34378","225120_at","PURB","5814","purine rich element binding protein B"
"34379","225121_at","TBC1D23","55773","TBC1 domain family member 23"
"34380","225122_at","RNF31","55072","ring finger protein 31"
"34381","225123_at","SESN3","143686","sestrin 3"
"34382","225124_at","PPP1R9B","84687","protein phosphatase 1 regulatory subunit 9B"
"34383","225125_at","MMGT1","93380","membrane magnesium transporter 1"
"34384","225126_at","MRRF","92399","mitochondrial ribosome recycling factor"
"34385","225127_at","TMEM181","57583","transmembrane protein 181"
"34386","225128_at","POGLUT3","143888","protein O-glucosyltransferase 3"
"34387","225129_at","CPNE2","221184","copine 2"
"34388","225130_at","ZRANB1","54764","zinc finger RANBP2-type containing 1"
"34389","225131_at","ZRANB1","54764","zinc finger RANBP2-type containing 1"
"34390","225132_at","FBXL3","26224","F-box and leucine rich repeat protein 3"
"34391","225133_at","KLF3","51274","KLF transcription factor 3"
"34392","225134_at","SPRYD3","84926","SPRY domain containing 3"
"34393","225135_at","SIN3A","25942","SIN3 transcription regulator family member A"
"34394","225136_at","PLEKHA2","59339","pleckstrin homology domain containing A2"
"34395","225137_at","NFATC3","4775","nuclear factor of activated T cells 3"
"34396","225138_at","ZRANB1","54764","zinc finger RANBP2-type containing 1"
"34397","225139_at","NFATC3","4775","nuclear factor of activated T cells 3"
"34398","225140_at","KLF3","51274","KLF transcription factor 3"
"34399","225141_at","NFATC3","4775","nuclear factor of activated T cells 3"
"34400","225142_at","KDM7A","80853","lysine demethylase 7A"
"34401","225143_at","SFXN4","119559","sideroflexin 4"
"34402","225144_at","BMPR2","659","bone morphogenetic protein receptor type 2"
"34403","225145_at","NCOA5","57727","nuclear receptor coactivator 5"
"34404","225146_at","FAM219A","203259","family with sequence similarity 219 member A"
"34405","225147_at","CYTH3","9265","cytohesin 3"
"34406","225148_at","RPS19BP1","91582","ribosomal protein S19 binding protein 1"
"34407","225149_at","PCID2","55795","PCI domain containing 2"
"34408","225150_s_at","RTKN","6242","rhotekin"
"34409","225151_at","RTKN","6242","rhotekin"
"34410","225152_at","ZNF622","90441","zinc finger protein 622"
"34411","225153_at","GFM1","85476","G elongation factor mitochondrial 1"
"34412","225154_at","SYAP1","94056","synapse associated protein 1"
"34413","225155_at","SNHG5","387066","small nucleolar RNA host gene 5"
"34414","225156_at","ELOF1","84337","elongation factor 1"
"34415","225157_at","MLXIP","22877","MLX interacting protein"
"34416","225158_at","GFM1","85476","G elongation factor mitochondrial 1"
"34417","225159_s_at","ELK4","2005","ETS transcription factor ELK4"
"34418","225160_x_at","MDM2","4193","MDM2 proto-oncogene"
"34419","225161_at","GFM1","85476","G elongation factor mitochondrial 1"
"34420","225162_at","SH3D19","152503","SH3 domain containing 19"
"34421","225163_at","FRMD4A","55691","FERM domain containing 4A"
"34422","225164_s_at","EIF2AK4","440275","eukaryotic translation initiation factor 2 alpha kinase 4"
"34423","225165_at","PPP1R1B","84152","protein phosphatase 1 regulatory inhibitor subunit 1B"
"34424","225166_at","ARHGAP18","93663","Rho GTPase activating protein 18"
"34425","225167_at","FRMD4A","55691","FERM domain containing 4A"
"34426","225168_at","FRMD4A","55691","FERM domain containing 4A"
"34427","225169_at","INTS4","92105","integrator complex subunit 4"
"34428","225170_at","WDR5","11091","WD repeat domain 5"
"34429","225171_at","ARHGAP18","93663","Rho GTPase activating protein 18"
"34430","225172_at","CRAMP1","57585","cramped chromatin regulator homolog 1"
"34431","225173_at","ARHGAP18","93663","Rho GTPase activating protein 18"
"34432","225174_at","DNAJC10","54431","DnaJ heat shock protein family (Hsp40) member C10"
"34433","225175_s_at","SLC44A2","57153","solute carrier family 44 member 2"
"34434","225176_at","LNPEP","4012","leucyl and cystinyl aminopeptidase"
"34435","225177_at","RAB11FIP1","80223","RAB11 family interacting protein 1"
"34436","225178_at","TTC14","151613","tetratricopeptide repeat domain 14"
"34437","225179_at","UBE2K","3093","ubiquitin conjugating enzyme E2 K"
"34438","225180_at","TTC14","151613","tetratricopeptide repeat domain 14"
"34439","225181_at","ARID1B","57492","AT-rich interaction domain 1B"
"34440","225182_at","TMEM50B","757","transmembrane protein 50B"
"34441","225183_at","HAPSTR1","29035","HUWE1 associated protein modifying stress responses"
"34442","225184_at","ARID1B","57492","AT-rich interaction domain 1B"
"34443","225185_at","MRAS","22808","muscle RAS oncogene homolog"
"34444","225186_at","RAPH1","65059","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"34445","225187_at","CCAR2","57805","cell cycle and apoptosis regulator 2"
"34446","225188_at","RAPH1","65059","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"34447","225189_s_at","RAPH1","65059","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"34448","225190_x_at","RPL35A","6165","ribosomal protein L35a"
"34449","225191_at","CIRBP","1153","cold inducible RNA binding protein"
"34450","225192_at","CACUL1","143384","CDK2 associated cullin domain 1"
"34451","225193_at","CCAR2","57805","cell cycle and apoptosis regulator 2"
"34452","225194_at","PLRG1","5356","pleiotropic regulator 1"
"34453","225195_at","DPH3","285381","diphthamide biosynthesis 3"
"34454","225196_s_at","MRPS26","64949","mitochondrial ribosomal protein S26"
"34455","225197_at","HAPSTR1","29035","HUWE1 associated protein modifying stress responses"
"34456","225198_at","VAPA","9218","VAMP associated protein A"
"34457","225199_at","HAPSTR1","29035","HUWE1 associated protein modifying stress responses"
"34458","225200_at","DPH3","285381","diphthamide biosynthesis 3"
"34459","225201_s_at","MRPL14","64928","mitochondrial ribosomal protein L14"
"34460","225202_at","RHOBTB3","22836","Rho related BTB domain containing 3"
"34461","225203_at","PPP1R16A","84988","protein phosphatase 1 regulatory subunit 16A"
"34462","225204_at","PPTC7","160760","protein phosphatase targeting COQ7"
"34463","225205_at","KIF3B","9371","kinesin family member 3B"
"34464","225206_s_at","MTRF1L","54516","mitochondrial translation release factor 1 like"
"34465","225207_at","PDK4","5166","pyruvate dehydrogenase kinase 4"
"34466","225208_s_at","RAMAC","83640","RNA guanine-7 methyltransferase activating subunit"
"34467","225209_s_at","UBE2J2","118424","ubiquitin conjugating enzyme E2 J2"
"34468","225210_s_at","RAMAC","83640","RNA guanine-7 methyltransferase activating subunit"
"34469","225211_at","NECTIN1","5818","nectin cell adhesion molecule 1"
"34470","225212_at","SLC25A25","114789","solute carrier family 25 member 25"
"34471","225213_at","PPTC7","160760","protein phosphatase targeting COQ7"
"34472","225214_at","LOC100129034","100129034","uncharacterized LOC100129034"
"34473","225215_s_at","MTRF1L","54516","mitochondrial translation release factor 1 like"
"34474","225216_at","FAM199X","139231","family with sequence similarity 199, X-linked"
"34475","225217_s_at","BRPF3","27154","bromodomain and PHD finger containing 3"
"34476","225218_at","ZFYVE27","118813","zinc finger FYVE-type containing 27"
"34477","225219_at","SMAD5","4090","SMAD family member 5"
"34478","225220_at","SNHG8","100093630","small nucleolar RNA host gene 8"
"34479","225221_at","ZKSCAN1","7586","zinc finger with KRAB and SCAN domains 1"
"34480","225222_at","MFSD14A","64645","major facilitator superfamily domain containing 14A"
"34481","225223_at","SMAD5","4090","SMAD family member 5"
"34482","225224_at","NOL4L","140688","nucleolar protein 4 like"
"34483","225225_at","OIP5-AS1","729082","OIP5 antisense RNA 1"
"34484","225226_at","STRIP1","85369","striatin interacting protein 1"
"34485","225227_at","SKIL","6498","SKI like proto-oncogene"
"34486","225228_at","DRAM2","128338","DNA damage regulated autophagy modulator 2"
"34487","225229_at","AFF4","27125","ALF transcription elongation factor 4"
"34488","225230_at","DRAM2","128338","DNA damage regulated autophagy modulator 2"
"34489","225231_at","CBL","867","Cbl proto-oncogene"
"34490","225232_at","MTMR12","54545","myotubularin related protein 12"
"34491","225233_at","MSI2","124540","musashi RNA binding protein 2"
"34492","225234_at","CBL","867","Cbl proto-oncogene"
"34493","225235_at","TSPAN17","26262","tetraspanin 17"
"34494","225236_at","RBM18","92400","RNA binding motif protein 18"
"34495","225237_s_at","MSI2","124540","musashi RNA binding protein 2"
"34496","225238_at","MSI2","124540","musashi RNA binding protein 2"
"34497","225239_at","NEAT1","283131","nuclear paraspeckle assembly transcript 1"
"34498","225240_s_at","MSI2","124540","musashi RNA binding protein 2"
"34499","225241_at","CCDC80","151887","coiled-coil domain containing 80"
"34500","225242_s_at","CCDC80","151887","coiled-coil domain containing 80"
"34501","225243_s_at","SLMAP","7871","sarcolemma associated protein"
"34502","225244_at","SNAP47","116841","synaptosome associated protein 47"
"34503","225245_x_at","H2AJ","55766","H2A.J histone"
"34504","225246_at","STIM2","57620","stromal interaction molecule 2"
"34505","225247_at","TMEM259","91304","transmembrane protein 259"
"34506","225248_at","SPPL2B","56928","signal peptide peptidase like 2B"
"34507","225249_at","SPPL2B","56928","signal peptide peptidase like 2B"
"34508","225250_at","STIM2","57620","stromal interaction molecule 2"
"34509","225251_at","RAB24","53917","RAB24, member RAS oncogene family"
"34510","225252_at","SRXN1","140809","sulfiredoxin 1"
"34511","225253_s_at","METTL2B, METTL2A","55798, 339175","methyltransferase 2B, methylcytidine, methyltransferase 2A, methylcytidine"
"34512","225254_at","CCDC97","90324","coiled-coil domain containing 97"
"34513","225255_at","MRPL35","51318","mitochondrial ribosomal protein L35"
"34514","225256_at","NA","NA","NA"
"34515","225257_at","CCDC97","90324","coiled-coil domain containing 97"
"34516","225258_at","FBLIM1","54751","filamin binding LIM protein 1"
"34517","225259_at","RAB6B","51560","RAB6B, member RAS oncogene family"
"34518","225260_s_at","MRPL32","64983","mitochondrial ribosomal protein L32"
"34519","225261_x_at","NELFCD","51497","negative elongation factor complex member C/D"
"34520","225262_at","FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"34521","225263_at","HS6ST1","9394","heparan sulfate 6-O-sulfotransferase 1"
"34522","225264_at","RARS2","57038","arginyl-tRNA synthetase 2, mitochondrial"
"34523","225265_at","RBMS1","5937","RNA binding motif single stranded interacting protein 1"
"34524","225266_at","ZNF652","22834","zinc finger protein 652"
"34525","225267_at","KPNA4","3840","karyopherin subunit alpha 4"
"34526","225268_at","KPNA4","3840","karyopherin subunit alpha 4"
"34527","225269_s_at","RBMS1","5937","RNA binding motif single stranded interacting protein 1"
"34528","225270_at","NEO1","4756","neogenin 1"
"34529","225271_at","TMEM63B","55362","transmembrane protein 63B"
"34530","225272_at","SAT2","112483","spermidine/spermine N1-acetyltransferase family member 2"
"34531","225273_at","WWC3","55841","WWC family member 3"
"34532","225274_at","PCYOX1","51449","prenylcysteine oxidase 1"
"34533","225275_at","EDIL3","10085","EGF like repeats and discoidin domains 3"
"34534","225276_at","GSPT1","2935","G1 to S phase transition 1"
"34535","225277_at","SLC39A13","91252","solute carrier family 39 member 13"
"34536","225278_at","PRKAB2","5565","protein kinase AMP-activated non-catalytic subunit beta 2"
"34537","225279_s_at","NEPRO","25871","nucleolus and neural progenitor protein"
"34538","225280_x_at","ARSD","414","arylsulfatase D"
"34539","225281_at","NEPRO","25871","nucleolus and neural progenitor protein"
"34540","225282_at","SMAP2","64744","small ArfGAP2"
"34541","225283_at","ARRDC4","91947","arrestin domain containing 4"
"34542","225284_at","DNAJC3","5611","DnaJ heat shock protein family (Hsp40) member C3"
"34543","225285_at","BCAT1","586","branched chain amino acid transaminase 1"
"34544","225286_at","ARSD","414","arylsulfatase D"
"34545","225287_s_at","PIP4P1","90809","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1"
"34546","225288_at","COL27A1","85301","collagen type XXVII alpha 1 chain"
"34547","225289_at","STAT3","6774","signal transducer and activator of transcription 3"
"34548","225290_at","ETNK1","55500","ethanolamine kinase 1"
"34549","225291_at","PNPT1","87178","polyribonucleotide nucleotidyltransferase 1"
"34550","225292_at","COL27A1","85301","collagen type XXVII alpha 1 chain"
"34551","225293_at","COL27A1","85301","collagen type XXVII alpha 1 chain"
"34552","225294_s_at","TRAPPC1","58485","trafficking protein particle complex subunit 1"
"34553","225295_at","SLC39A10","57181","solute carrier family 39 member 10"
"34554","225296_at","ZNF317","57693","zinc finger protein 317"
"34555","225297_at","HAUS1","115106","HAUS augmin like complex subunit 1"
"34556","225298_at","PNKD","25953","PNKD metallo-beta-lactamase domain containing"
"34557","225299_at","MYO5B","4645","myosin VB"
"34558","225300_at","KNSTRN","90417","kinetochore localized astrin (SPAG5) binding protein"
"34559","225301_s_at","MYO5B","4645","myosin VB"
"34560","225302_at","TMX3","54495","thioredoxin related transmembrane protein 3"
"34561","225303_at","KIRREL1","55243","kirre like nephrin family adhesion molecule 1"
"34562","225304_s_at","NDUFA11","126328","NADH:ubiquinone oxidoreductase subunit A11"
"34563","225305_at","SLC25A29","123096","solute carrier family 25 member 29"
"34564","225306_s_at","SLC25A29","123096","solute carrier family 25 member 29"
"34565","225307_at","ZNF511","118472","zinc finger protein 511"
"34566","225308_s_at","TANC1","85461","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
"34567","225309_at","PHF5A","84844","PHD finger protein 5A"
"34568","225310_at","RBMX","27316","RNA binding motif protein X-linked"
"34569","225311_at","IVD","3712","isovaleryl-CoA dehydrogenase"
"34570","225312_at","COMMD6","170622","COMM domain containing 6"
"34571","225313_at","FAM217B","63939","family with sequence similarity 217 member B"
"34572","225314_at","OCIAD2","132299","OCIA domain containing 2"
"34573","225315_at","MRPL21","219927","mitochondrial ribosomal protein L21"
"34574","225316_at","MFSD2A","84879","MFSD2 lysolipid transporter A, lysophospholipid"
"34575","225317_at","ACBD6, LHX4-AS1","84320, 100527964","acyl-CoA binding domain containing 6, LHX4 antisense RNA 1"
"34576","225318_at","NSD3","54904","nuclear receptor binding SET domain protein 3"
"34577","225319_s_at","FAM104A","84923","family with sequence similarity 104 member A"
"34578","225320_at","MCU","90550","mitochondrial calcium uniporter"
"34579","225321_s_at","PILRB, STAG3L5P-PVRIG2P-PILRB","29990, 101752399","paired immunoglobin like type 2 receptor beta, STAG3L5P-PVRIG2P-PILRB readthrough"
"34580","225322_s_at","FAAP100","80233","FA core complex associated protein 100"
"34581","225323_at","CC2D1B","200014","coiled-coil and C2 domain containing 1B"
"34582","225324_at","CRLS1","54675","cardiolipin synthase 1"
"34583","225325_at","MFSD6","54842","major facilitator superfamily domain containing 6"
"34584","225326_at","RBM27","54439","RNA binding motif protein 27"
"34585","225327_at","ATOSA","56204","atos homolog A"
"34586","225328_at","FBXO32","114907","F-box protein 32"
"34587","225329_at","MCRIP1","348262","MAPK regulated corepressor interacting protein 1"
"34588","225330_at","IGF1R","3480","insulin like growth factor 1 receptor"
"34589","225331_at","CCDC50","152137","coiled-coil domain containing 50"
"34590","225332_at","OIP5-AS1","729082","OIP5 antisense RNA 1"
"34591","225333_at","ZNF496","84838","zinc finger protein 496"
"34592","225334_at","BORCS7","119032","BLOC-1 related complex subunit 7"
"34593","225335_at","ZNF496","84838","zinc finger protein 496"
"34594","225336_at","SCAF11","9169","SR-related CTD associated factor 11"
"34595","225337_at","ABHD2","11057","abhydrolase domain containing 2, acylglycerol lipase"
"34596","225338_at","ZYG11B","79699","zyg-11 family member B, cell cycle regulator"
"34597","225339_at","SPAG9","9043","sperm associated antigen 9"
"34598","225340_s_at","CAPRIN1","4076","cell cycle associated protein 1"
"34599","225341_at","MTERF2","80298","mitochondrial transcription termination factor 2"
"34600","225342_at","AK4","205","adenylate kinase 4"
"34601","225343_at","TMED8","283578","transmembrane p24 trafficking protein family member 8"
"34602","225344_at","NCOA7","135112","nuclear receptor coactivator 7"
"34603","225345_s_at","FBXO32","114907","F-box protein 32"
"34604","225346_at","MTERF2","80298","mitochondrial transcription termination factor 2"
"34605","225347_at","ARL8A","127829","ADP ribosylation factor like GTPase 8A"
"34606","225348_at","SRSF10","10772","serine and arginine rich splicing factor 10"
"34607","225349_at","ZNF496","84838","zinc finger protein 496"
"34608","225350_s_at","ZYG11B","79699","zyg-11 family member B, cell cycle regulator"
"34609","225351_at","DENND10P1, DENND10","55855, 404636","DENND10 pseudogene 1, DENN domain containing 10"
"34610","225352_at","SEC62","7095","SEC62 homolog, preprotein translocation factor"
"34611","225353_s_at","C1QC","714","complement C1q C chain"
"34612","225354_s_at","SH3BGRL2","83699","SH3 domain binding glutamate rich protein like 2"
"34613","225355_at","NEURL1B","54492","neuralized E3 ubiquitin protein ligase 1B"
"34614","225356_at","SFT2D2","375035","SFT2 domain containing 2"
"34615","225357_s_at","INO80","54617","INO80 complex ATPase subunit"
"34616","225358_at","DNAJC19","131118","DnaJ heat shock protein family (Hsp40) member C19"
"34617","225359_at","DNAJC19","131118","DnaJ heat shock protein family (Hsp40) member C19"
"34618","225360_at","TRABD","80305","TraB domain containing"
"34619","225361_x_at","PABIR2","159090","PABIR family member 2"
"34620","225362_at","PABIR2","159090","PABIR family member 2"
"34621","225363_at","PTEN","5728","phosphatase and tensin homolog"
"34622","225364_at","STK4","6789","serine/threonine kinase 4"
"34623","225365_at","ZDHHC20","253832","zinc finger DHHC-type palmitoyltransferase 20"
"34624","225366_at","PGM2","55276","phosphoglucomutase 2"
"34625","225367_at","PGM2","55276","phosphoglucomutase 2"
"34626","225368_at","HIPK2","28996","homeodomain interacting protein kinase 2"
"34627","225369_at","ESAM","90952","endothelial cell adhesion molecule"
"34628","225370_at","PYGO2","90780","pygopus family PHD finger 2"
"34629","225371_at","GLE1","2733","GLE1 RNA export mediator"
"34630","225372_at","VSIR","64115","V-set immunoregulatory receptor"
"34631","225373_at","VSIR","64115","V-set immunoregulatory receptor"
"34632","225374_at","TMEM199","147007","transmembrane protein 199"
"34633","225375_at","TMEM199","147007","transmembrane protein 199"
"34634","225376_at","GID8","54994","GID complex subunit 8 homolog"
"34635","225377_at","RABL6","55684","RAB, member RAS oncogene family like 6"
"34636","225378_at","VPS37A","137492","VPS37A subunit of ESCRT-I"
"34637","225379_at","MAPT","4137","microtubule associated protein tau"
"34638","225380_at","PKDCC","91461","protein kinase domain containing, cytoplasmic"
"34639","225381_at","MIR100HG","399959","mir-100-let-7a-2-mir-125b-1 cluster host gene"
"34640","225382_at","ZNF275","10838","zinc finger protein 275"
"34641","225383_at","ZNF275","10838","zinc finger protein 275"
"34642","225384_at","DOCK7","85440","dedicator of cytokinesis 7"
"34643","225385_s_at","HNRNPLL","92906","heterogeneous nuclear ribonucleoprotein L like"
"34644","225386_s_at","HNRNPLL","92906","heterogeneous nuclear ribonucleoprotein L like"
"34645","225387_at","TSPAN5","10098","tetraspanin 5"
"34646","225388_at","TSPAN5","10098","tetraspanin 5"
"34647","225389_at","BTBD6","90135","BTB domain containing 6"
"34648","225390_s_at","KLF13","51621","KLF transcription factor 13"
"34649","225391_at","LOC93622","93622","Morf4 family associated protein 1 like 1"
"34650","225392_at","GFM2","84340","GTP dependent ribosome recycling factor mitochondrial 2"
"34651","225393_at","GATAD2B","57459","GATA zinc finger domain containing 2B"
"34652","225394_s_at","ZCRB1","85437","zinc finger CCHC-type and RNA binding motif containing 1"
"34653","225395_s_at","FAM120AOS","158293","family with sequence similarity 120A opposite strand"
"34654","225396_at","RBBP4","5928","RB binding protein 4, chromatin remodeling factor"
"34655","225397_at","CCDC32","90416","coiled-coil domain containing 32"
"34656","225398_at","RPUSD4","84881","RNA pseudouridine synthase D4"
"34657","225399_at","TSEN15","116461","tRNA splicing endonuclease subunit 15"
"34658","225400_at","TSEN15","116461","tRNA splicing endonuclease subunit 15"
"34659","225401_at","GLMP","112770","glycosylated lysosomal membrane protein"
"34660","225402_at","TP53RK","112858","TP53 regulating kinase"
"34661","225403_at","RPP25L","138716","ribonuclease P/MRP subunit p25 like"
"34662","225404_at","SMIM12","113444","small integral membrane protein 12"
"34663","225405_at","HNRNPUL2","221092","heterogeneous nuclear ribonucleoprotein U like 2"
"34664","225406_at","TWSG1","57045","twisted gastrulation BMP signaling modulator 1"
"34665","225407_at","MBP","4155","myelin basic protein"
"34666","225408_at","MBP","4155","myelin basic protein"
"34667","225409_at","COA5","493753","cytochrome c oxidase assembly factor 5"
"34668","225410_at","COA5","493753","cytochrome c oxidase assembly factor 5"
"34669","225411_at","TMEM87B","84910","transmembrane protein 87B"
"34670","225412_at","TMEM87B","84910","transmembrane protein 87B"
"34671","225413_at","ATP5MK","84833","ATP synthase membrane subunit k"
"34672","225414_at","RNF149","284996","ring finger protein 149"
"34673","225415_at","DTX3L","151636","deltex E3 ubiquitin ligase 3L"
"34674","225416_at","RLIM","51132","ring finger protein, LIM domain interacting"
"34675","225417_at","EPC1","80314","enhancer of polycomb homolog 1"
"34676","225418_at","NECTIN2","5819","nectin cell adhesion molecule 2"
"34677","225419_at","MPLKIP","136647","M-phase specific PLK1 interacting protein"
"34678","225420_at","GPAM","57678","glycerol-3-phosphate acyltransferase, mitochondrial"
"34679","225421_at","PM20D2","135293","peptidase M20 domain containing 2"
"34680","225422_at","CDC26","246184","cell division cycle 26"
"34681","225423_x_at","MRPL41","64975","mitochondrial ribosomal protein L41"
"34682","225424_at","GPAM","57678","glycerol-3-phosphate acyltransferase, mitochondrial"
"34683","225425_s_at","MRPL41","64975","mitochondrial ribosomal protein L41"
"34684","225426_at","PPP6C","5537","protein phosphatase 6 catalytic subunit"
"34685","225427_s_at","NAXE","128240","NAD(P)HX epimerase"
"34686","225428_s_at","DDX54","79039","DEAD-box helicase 54"
"34687","225429_at","PPP6C","5537","protein phosphatase 6 catalytic subunit"
"34688","225430_at","GATC","283459","glutamyl-tRNA amidotransferase subunit C"
"34689","225431_x_at","PM20D2","135293","peptidase M20 domain containing 2"
"34690","225432_s_at","KAT14","57325","lysine acetyltransferase 14"
"34691","225433_at","GTF2A1","2957","general transcription factor IIA subunit 1"
"34692","225434_at","DEDD2","162989","death effector domain containing 2"
"34693","225435_at","SSR1","6745","signal sequence receptor subunit 1"
"34694","225436_at","ABHD17C","58489","abhydrolase domain containing 17C, depalmitoylase"
"34695","225437_s_at","BRAT1","221927","BRCA1 associated ATM activator 1"
"34696","225438_at","NUDCD1","84955","NudC domain containing 1"
"34697","225439_at","NUDCD1","84955","NudC domain containing 1"
"34698","225440_at","AGPAT3","56894","1-acylglycerol-3-phosphate O-acyltransferase 3"
"34699","225441_x_at","NAA38","84316","N-alpha-acetyltransferase 38, NatC auxiliary subunit"
"34700","225442_at","DDR2","4921","discoidin domain receptor tyrosine kinase 2"
"34701","225443_at","DCP1A","55802","decapping mRNA 1A"
"34702","225444_at","UBN2","254048","ubinuclein 2"
"34703","225445_at","UBN2","254048","ubinuclein 2"
"34704","225446_at","BRWD1","54014","bromodomain and WD repeat domain containing 1"
"34705","225447_at","GPD2","2820","glycerol-3-phosphate dehydrogenase 2"
"34706","225448_at","NAPG","8774","NSF attachment protein gamma"
"34707","225449_at","RDH13","112724","retinol dehydrogenase 13"
"34708","225450_at","AMOTL1","154810","angiomotin like 1"
"34709","225451_at","GRIPAP1","56850","GRIP1 associated protein 1"
"34710","225452_at","MED1","5469","mediator complex subunit 1"
"34711","225453_x_at","CCDC124","115098","coiled-coil domain containing 124"
"34712","225454_at","CCDC124","115098","coiled-coil domain containing 124"
"34713","225455_at","TADA1","117143","transcriptional adaptor 1"
"34714","225456_at","MED1","5469","mediator complex subunit 1"
"34715","225457_s_at","SLC9A3, SLC9A3-OT1, OLMALINC","6550, 25845, 90271","solute carrier family 9 member A3, SLC9A3 3' UTR overlapping transcript 1, oligodendrocyte maturation-associated long intergenic non-coding RNA"
"34716","225458_at","SLC9A3, SLC9A3-OT1","6550, 25845","solute carrier family 9 member A3, SLC9A3 3' UTR overlapping transcript 1"
"34717","225459_at","AMOTL1","154810","angiomotin like 1"
"34718","225460_at","SEC22C","9117","SEC22 homolog C, vesicle trafficking protein"
"34719","225461_at","EHMT1","79813","euchromatic histone lysine methyltransferase 1"
"34720","225462_at","TMEM128","85013","transmembrane protein 128"
"34721","225463_x_at","GPR89B, GPR89A","51463, 653519","G protein-coupled receptor 89B, G protein-coupled receptor 89A"
"34722","225464_at","FRMD6","122786","FERM domain containing 6"
"34723","225465_at","MAGI1","9223","membrane associated guanylate kinase, WW and PDZ domain containing 1"
"34724","225466_at","PATL1","219988","PAT1 homolog 1, processing body mRNA decay factor"
"34725","225467_s_at","RDH13","112724","retinol dehydrogenase 13"
"34726","225468_at","PATL1","219988","PAT1 homolog 1, processing body mRNA decay factor"
"34727","225469_at","ETFRF1","144363","electron transfer flavoprotein regulatory factor 1"
"34728","225470_at","NUP35","129401","nucleoporin 35"
"34729","225471_s_at","AKT2","208","AKT serine/threonine kinase 2"
"34730","225472_at","GPANK1","7918","G-patch domain and ankyrin repeats 1"
"34731","225473_at","SOGA1","140710","suppressor of glucose, autophagy associated 1"
"34732","225474_at","MAGI1","9223","membrane associated guanylate kinase, WW and PDZ domain containing 1"
"34733","225475_at","MIER1","57708","MIER1 transcriptional regulator"
"34734","225476_at","GPANK1","7918","G-patch domain and ankyrin repeats 1"
"34735","225477_s_at","NR2C2","7182","nuclear receptor subfamily 2 group C member 2"
"34736","225478_at","MFHAS1","9258","multifunctional ROCO family signaling regulator 1"
"34737","225479_at","LRRC58","116064","leucine rich repeat containing 58"
"34738","225480_at","C1orf122","127687","chromosome 1 open reading frame 122"
"34739","225481_at","FRMD6","122786","FERM domain containing 6"
"34740","225482_at","KIF1A","547","kinesin family member 1A"
"34741","225483_at","VPS26B","112936","VPS26 retromer complex component B"
"34742","225484_at","CEP41","95681","centrosomal protein 41"
"34743","225485_at","CEP41","95681","centrosomal protein 41"
"34744","225486_at","ARID2","196528","AT-rich interaction domain 2"
"34745","225487_at","TMEM18","129787","transmembrane protein 18"
"34746","225488_at","DERL1","79139","derlin 1"
"34747","225489_at","TMEM18","129787","transmembrane protein 18"
"34748","225490_at","ARID2","196528","AT-rich interaction domain 2"
"34749","225491_at","SLC1A2","6506","solute carrier family 1 member 2"
"34750","225492_at","TMEM33","55161","transmembrane protein 33"
"34751","225493_at","CCNT1","904","cyclin T1"
"34752","225494_at","DYNLL2","140735","dynein light chain LC8-type 2"
"34753","225495_x_at","GADD45GIP1","90480","GADD45G interacting protein 1"
"34754","225496_s_at","SYTL2","54843","synaptotagmin like 2"
"34755","225497_at","ATE1","11101","arginyltransferase 1"
"34756","225498_at","CHMP4B","128866","charged multivesicular body protein 4B"
"34757","225499_at","RALGAPA2","57186","Ral GTPase activating protein catalytic subunit alpha 2"
"34758","225500_x_at","SCAF1","58506","SR-related CTD associated factor 1"
"34759","225501_at","PHF6","84295","PHD finger protein 6"
"34760","225502_at","DOCK8","81704","dedicator of cytokinesis 8"
"34761","225503_at","DHRSX","207063","dehydrogenase/reductase X-linked"
"34762","225504_at","HMBOX1","79618","homeobox containing 1"
"34763","225505_s_at","PCED1A","64773","PC-esterase domain containing 1A"
"34764","225506_at","RELCH","57614","RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing"
